标题,梵文原文,最终音译,初步音译,AI修正音译,状态,用户标记错误,用户已编辑,发布状态
M25.13 卍金刚手大身陀罗尼(金刚手秘密主大身陀罗尼)卍,namo vajra jñāya  sarva trelokya jñāya  prajva lita jñāya  vajra kanaka  mukti kāla ṅkṛta śarī rāya  mahā balāya  mahā vidyāya  ehyehi  kiṃ cira yasi  bhagavati  vajra paṇi pṛye  mahā vajra sanihi  ānaya ānaya  graye jña vidyā  ninti ṅgra haṃ  ānaya ānaya  śīghraṃ śīghraṃ  yeṇe deva  nāga  yakṣa  gandharva  asura  garuḍa  kinnara  maho raga  rākṣasa  piśāca  kumbhaṇḍa  umada  apa smāra  vinā yaka  pūtana  yatra sthita  yatra tanata dhupi  ānaya ānaya  śīghraṃ śīghraṃ  kuru kuru  turu turu  gṛhṇa gṛhṇa  matha matha  patha patha  pada pada  dhama dhama  pura pura  sada sada  raṅga raṅga  āviśa āviśa vajra jña  ājñā payati  svāhā,那摩 瓦吉拉 吉尼亚亚 萨尔瓦 特雷洛基亚 吉尼亚亚 普拉吉瓦 利塔 吉尼亚亚 瓦吉拉 卡纳卡 穆克提 卡拉 恩克里塔 沙里 拉亚 玛哈 巴拉亚 玛哈 维迪亚亚 埃赫耶希 金 奇拉 亚西 巴伽瓦提 瓦吉拉 帕尼 普利耶 玛哈 瓦吉拉 萨尼希 阿纳亚 阿纳亚 格拉耶 吉尼亚 维迪亚 宁提 恩格拉 哈姆 阿纳亚 阿纳亚 希格拉姆 希格拉姆 耶内 德瓦 纳伽 亚克沙 甘达尔瓦 阿苏拉 伽鲁达 金纳拉 玛霍 拉伽 拉克沙萨 皮沙查 昆班达 乌玛达 阿帕 斯马拉 维纳 亚卡 普塔纳 亚特拉 斯提塔 亚特拉 塔纳塔 杜皮 阿纳亚 阿纳亚 希格拉姆 希格拉姆 库鲁 库鲁 图鲁 图鲁 格里赫纳 格里赫纳 玛塔 玛塔 帕塔 帕塔 帕达 帕达 达玛 达玛 普拉 普拉 萨达 萨达 兰伽 兰伽 阿维沙 阿维沙 瓦吉拉 吉尼亚 阿吉尼亚 帕亚提 斯瓦哈,那摩 瓦吉拉 吉尼亚亚 萨尔瓦 特雷洛基亚 吉尼亚亚 普拉吉瓦 利塔 吉尼亚亚 瓦吉拉 卡纳卡 穆克提 卡拉 恩克里塔 沙里 拉亚 玛哈 巴拉亚 玛哈 维迪亚亚 埃赫耶希 金 奇拉 亚西 巴伽瓦提 瓦吉拉 帕尼 普利耶 玛哈 瓦吉拉 萨尼希 阿纳亚 阿纳亚 格拉耶 吉尼亚 维迪亚 宁提 恩格拉 哈姆 阿纳亚 阿纳亚 希格拉姆 希格拉姆 耶内 德瓦 纳伽 亚克沙 甘达尔瓦 阿苏拉 伽鲁达 金纳拉 玛霍 拉伽 拉克沙萨 皮沙查 昆班达 乌玛达 阿帕 斯马拉 维纳 亚卡 普塔纳 亚特拉 斯提塔 亚特拉 塔纳塔 杜皮 阿纳亚 阿纳亚 希格拉姆 希格拉姆 库鲁 库鲁 图鲁 图鲁 格里赫纳 格里赫纳 玛塔 玛塔 帕塔 帕塔 帕达 帕达 达玛 达玛 普拉 普拉 萨达 萨达 兰伽 兰伽 阿维沙 阿维沙 瓦吉拉 吉尼亚 阿吉尼亚 帕亚提 斯瓦哈,,success,否,否,
M25.14 卍金刚手随心大法身陀罗尼卍,namo ratna trayāya  namaḥ ścaṇḍa vajra paṇaye  mahā yakṣa sena pataye  tadyathā  citra citra  kapira piṅgala rūpa  svareṇa rupāṇa  āgaccha  svāhā  tadyathā  sara sara  siri siri  suru suru  hara hara  hiri hiri  huru huru  para para  piri piri  puru puru  mara mara  miri miri  muru muru  cara cara  ciri ciri  curu curu  yara yara  yiri yiri  yuru yuru  ghara ghara  ghiri ghiri  ghuru ghuru  kara kara  kiri kiri  kuru kuru  tara tara  tiri tiri  turu turu  laghu laghu  hana hana  daha daha  paca paca  gṛhṇa gṛhṇa  tama tama  cchinda cchinda  matha matha  bhinda bhinda  stambha stambha  bhañja bhañja  bandha bandha marda marda  pramarda pramarda  raudra raudra  hana hana  sarva vighna vinā yakāṃ  vaśīka rome  sarva strīpu ruṣa  daraka darikanāṃ  huru huru  siddha ścaṇḍa vajra dhara  vajra paṇi rājñā payati  svāhā,那摩 喇特那 德喇呀呀 那摩诃 商达 瓦吉喇 巴那耶 摩诃 雅刹 塞那 巴达耶 达德雅他 吉德喇 吉德喇 嘎比喇 宾嘎拉 卢巴 斯瓦雷那 卢巴那 阿嘎查 斯瓦哈 达德雅他 萨喇 萨喇 西哩 西哩 苏卢 苏卢 哈喇 哈喇 希哩 希哩 胡卢 胡卢 巴喇 巴喇 比哩 比哩 布卢 布卢 玛喇 玛喇 米哩 米哩 穆卢 穆卢 佳喇 佳喇 吉哩 吉哩 朱卢 朱卢 雅喇 雅喇 伊哩 伊哩 尤卢 尤卢 嘎喇 嘎喇 吉哩 吉哩 古卢 古卢 嘎喇 嘎喇 吉哩 吉哩 古卢 古卢 达喇 达喇 迪哩 迪哩 杜卢 杜卢 拉古 拉古 哈那 哈那 达哈 达哈 巴佳 巴佳 格里赫那 格里赫那 达玛 达玛 钦达 钦达 玛塔 玛塔 宾达 宾达 斯丹巴 斯丹巴 班佳 班佳 班达 班达 玛尔达 玛尔达 布拉玛尔达 布拉玛尔达 劳德喇 劳德喇 哈那 哈那 萨尔瓦 维格那 维那雅康 瓦希嘎 罗梅 萨尔瓦 斯特哩布 卢沙 达喇嘎 达哩嘎南 胡卢 胡卢 悉达 商达 瓦吉喇 达喇 瓦吉喇 巴尼 拉吉尼亚 巴雅提 斯瓦哈,那摩 喇特那 德喇呀呀 那摩诃 商达 瓦吉喇 巴那耶 摩诃 雅刹 塞那 巴达耶 达德雅他 吉德喇 吉德喇 嘎比喇 宾嘎拉 卢巴 斯瓦雷那 卢巴那 阿嘎查 斯瓦哈 达德雅他 萨喇 萨喇 西哩 西哩 苏卢 苏卢 哈喇 哈喇 希哩 希哩 胡卢 胡卢 巴喇 巴喇 比哩 比哩 布卢 布卢 玛喇 玛喇 米哩 米哩 穆卢 穆卢 佳喇 佳喇 吉哩 吉哩 朱卢 朱卢 雅喇 雅喇 伊哩 伊哩 尤卢 尤卢 嘎喇 嘎喇 吉哩 吉哩 古卢 古卢 嘎喇 嘎喇 吉哩 吉哩 古卢 古卢 达喇 达喇 迪哩 迪哩 杜卢 杜卢 拉古 拉古 哈那 哈那 达哈 达哈 巴佳 巴佳 格里赫那 格里赫那 达玛 达玛 钦达 钦达 玛塔 玛塔 宾达 宾达 斯丹巴 斯丹巴 班佳 班佳 班达 班达 玛尔达 玛尔达 布拉玛尔达 布拉玛尔达 劳德喇 劳德喇 哈那 哈那 萨尔瓦 维格那 维那雅康 瓦希嘎 罗梅 萨尔瓦 斯特哩布 卢沙 达喇嘎 达哩嘎南 胡卢 胡卢 悉达 商达 瓦吉喇 达喇 瓦吉喇 巴尼 拉吉尼亚 巴雅提 斯瓦哈,,success,否,否,
M25.15 卍金刚手赞叹法印(金刚手治病陀罗尼)卍,śriti vajra pāṇi varada  mahā vidyā rāja prata ntrā  mahā caṇḍa vidyā rāja  ehyehi bhagavaṃ śīghraṃ,室利帝 瓦吉拉 巴尼 瓦拉达 玛哈 维迪亚 拉贾 布拉达 恩德拉 玛哈 旃达 维迪亚 拉贾 埃赫耶希 巴伽梵 室格拉姆,室利帝 瓦吉拉 巴尼 瓦拉达 玛哈 维迪亚 拉贾 布拉达 恩德拉 玛哈 旃达 维迪亚 拉贾 埃赫耶希 巴伽梵 室格拉姆,,success,否,否,
M25.16卍金刚手陀罗尼卍,namo ratna trayāya  namaḥ ścaṇḍa vajra pāṇaye  mahā yakṣa sena pataye  tadyathā  sara sara  siri siri  suru suru  muñca muñca  gṛ haya ñja liṃ  hehe vajra pāṇi  kuru kuru  dhama dhama  namo stute  svāhā,那摩 喇特那 德喇呀呀 那摩诃 商达 哇吉喇 巴那耶 摩哈 呀克沙 塞那 巴达耶 达德呀他 萨喇 萨喇 西哩 西哩 苏噜 苏噜 文佳 文佳 格哩哈呀 恩佳 林 嘿嘿 哇吉喇 巴尼 古噜 古噜 达嘛 达嘛 那摩 斯度德 斯瓦哈,那摩 喇特那 德喇呀呀 那摩诃 商达 哇吉喇 巴那耶 摩哈 呀克沙 塞那 巴达耶 达德呀他 萨喇 萨喇 西哩 西哩 苏噜 苏噜 文佳 文佳 格哩哈呀 恩佳 林 嘿嘿 哇吉喇 巴尼 古噜 古噜 达嘛 达嘛 那摩 斯度德 斯瓦哈,,success,否,否,
M25.17 卍金刚手敬爱陀罗尼(金刚敬爱陀罗尼)卍,namo vajra dhara sya  ciri ciri  pāśapāśani  svāhā,那摩 哇吉拉 达拉 夏 吉利 吉利 巴夏巴夏尼 斯瓦哈,那摩 哇吉拉 达拉 夏 吉利 吉利 巴夏巴夏尼 斯瓦哈,,success,否,否,
M25.18 卍金刚棒陀罗尼(金刚棒陀罗尼)(二道之一)卍,namo ratna traya sya  namaḥ ścaṇḍa vajra paṇi sya  mahā yakṣa sena pati sya  tadyathā  vajra daṇḍa mahā bhaga vajra pāṇi  bhaya naka vajreṇa  vajra hanasi  manda manda  daha daha  paca paca  vaśī karūhi  uttra sani uttra sani  tālani tālani  ghataya ghataya  svāhā,那摩 喇特那 德喇雅 斯雅 那摩诃 希旃达 瓦吉喇 巴尼 斯雅 摩诃 雅刹 塞那 巴帝 斯雅 达帝雅他 瓦吉喇 丹达 摩诃 巴嘎 瓦吉喇 巴尼 巴雅 那嘎 瓦吉雷那 瓦吉喇 哈那西 曼达 曼达 达哈 达哈 巴乍 巴乍 瓦希 嘎卢希 乌德德喇 萨尼 乌德德喇 萨尼 达拉尼 达拉尼 嘎达雅 嘎达雅 斯瓦哈,那摩 喇特那 德喇雅 斯雅 那摩诃 希旃达 瓦吉喇 巴尼 斯雅 摩诃 雅刹 塞那 巴帝 斯雅 达帝雅他 瓦吉喇 丹达 摩诃 巴嘎 瓦吉喇 巴尼 巴雅 那嘎 瓦吉雷那 瓦吉喇 哈那西 曼达 曼达 达哈 达哈 巴乍 巴乍 瓦希 嘎卢希 乌德德喇 萨尼 乌德德喇 萨尼 达拉尼 达拉尼 嘎达雅 嘎达雅 斯瓦哈,,success,否,是,
M25.19卍金刚棒第二陀罗尼(二道之二)卍,namo ratna traya sya  namo vajra paṇi sya  tadyathā  dande cchinde  da ndini cchinda vajriṇi  cchinda pātaya  nisumbhaya  svāhā,那摩 喇特那 德喇亚 斯亚 那摩 瓦吉喇 巴尼 斯亚 达德亚他 丹德 钦德 丹迪尼 钦达 瓦吉里尼 钦达 巴达亚 尼松巴亚 斯瓦哈,那摩 喇特那 德喇亚 斯亚 那摩 瓦吉喇 巴尼 斯亚 达德亚他 丹德 钦德 丹迪尼 钦达 瓦吉里尼 钦达 巴达亚 尼松巴亚 斯瓦哈,,success,否,否,
M25.20 卍金刚朅吒网eh誐陀罗尼(金刚朅吒网eh誐印陀罗尼)卍,namo ratna trayāya  namaḥ ścaṇḍa vajra pāṇaye  mahā yakṣa sena pataye  tadyathā  oṃ  kaṭṭa kaṭṭa  maṭṭa maṭṭa  bhañja bhañja  kraṭa kraṭa  āviśaāviśa cala cala  comaya comaya curaṃ  gṛhṇa gṛhṇa  svāhā,那摩 喇特那 德喇呀呀 那摩诃 商达 哇折喇 巴那耶 摩诃 呀刹 塞那 巴达耶 达德呀他 唵 嘎达 嘎达 摩达 摩达 班扎 班扎 格喇达 格喇达 阿维沙阿维沙 扎拉 扎拉 凑嘛呀 凑嘛呀 粗让 格哩诃那 格哩诃那 斯瓦诃,那摩 喇特那 德喇呀呀 那摩诃 商达 哇折喇 巴那耶 摩诃 呀刹 塞那 巴达耶 达德呀他 唵 嘎达 嘎达 摩达 摩达 班扎 班扎 格喇达 格喇达 阿维沙阿维沙 扎拉 扎拉 凑嘛呀 凑嘛呀 粗让 格哩诃那 格哩诃那 斯瓦诃,,success,否,否,
M25.21 卍金刚母瑟置法印陀罗尼(金刚拳陀罗尼)卍,namo ratna trayāya  namaḥ ścaṇḍa vajra paṇaye  mahā yakṣa sena pataye  mate vajre  vajreṇi  vajra dhare   smara samayaṃ  vili vili  ciri ciri  curu curu  kaṭa kaṭa  namo stute  mahā dūti amokaṃ me  karya ṅkuru  hana hana  daha daha  paca paca  vajra dhare  vajreṇi  huru huru  siddha ścaṇḍa vajra paṇi  rajñā payati  svāhā,那摩 喇特那 德喇亚亚 那玛赫 商达 瓦吉喇 巴那耶 玛哈 亚克沙 塞那 巴达耶 玛德 瓦吉雷 瓦吉雷尼 瓦吉喇 达雷 斯玛喇 萨玛扬 维利 维利 基利 基利 古如 古如 嘎达 嘎达 那摩 斯度德 玛哈 度底 阿摩康 美 嘎尔亚 恩古如 哈那 哈那 达哈 达哈 巴嘎 巴嘎 瓦吉喇 达雷 瓦吉雷尼 胡如 胡如 悉达 商达 瓦吉喇 巴尼 喇吉尼亚 巴亚底 斯瓦哈,那摩 喇特那 德喇亚亚 那玛赫 商达 瓦吉喇 巴那耶 玛哈 亚克沙 塞那 巴达耶 玛德 瓦吉雷 瓦吉雷尼 瓦吉喇 达雷 斯玛喇 萨玛扬 维利 维利 基利 基利 古如 古如 嘎达 嘎达 那摩 斯度德 玛哈 度底 阿摩康 美 嘎尔亚 恩古如 哈那 哈那 达哈 达哈 巴嘎 巴嘎 瓦吉喇 达雷 瓦吉雷尼 胡如 胡如 悉达 商达 瓦吉喇 巴尼 喇吉尼亚 巴亚底 斯瓦哈,,success,否,否,
M25.22 卍金刚钩陀罗尼(金刚钩大陀罗尼)卍,namo ratna trayāya  namaḥ ścaṇḍa vajra paṇaye  mahā yakṣa sena pataye  oṃ  vajra ṅkuśi  kapila keśi  taṭṭi taṭṭi  caṭṭi caṭṭi  cchuṭṭi mu ṭṭini  kalo kaṭi  balo kaṭi  muṭi vajri  mahā vaiḍūrye  dhuku dhuku  sumu sumu  suru suru  sara sara  visara visara humhumhumhum  phaṭ phaṭ phaṭ phaṭ  mūrdhneti  hala hala  piṅgala  caṭṭi vica ṭṭi  svara vicchūre  sarva deva nāga  praha raṇa  maya sama dhi  iṛ ddhi daya kya  sulaṅkya  kula ṅkya  vajra hune  vajra dṛ dhasara  praha raṇa  ratna trayani  krama tribhute  vajra dhara  viśva paṇi  apratihata  prama rthani  vajrā ṅkuśi  ajñā payati  svāhā,那摩 喇特那 德喇呀呀 那摩诃 商达 瓦吉喇 巴那耶 摩诃 雅刹 塞那 巴达耶 嗡 瓦吉喇 昂古室 嘎比拉 给室 达谛 达谛 嘎谛 嘎谛 咕谛 穆 谛尼 嘎罗 嘎谛 巴罗 嘎谛 穆谛 瓦吉哩 摩诃 外杜哩耶 杜古 杜古 苏穆 苏穆 苏噜 苏噜 萨喇 萨喇 毗萨喇 毗萨喇 吽吽吽吽 帕特 帕特 帕特 帕特 穆尔德内谛 哈喇 哈喇 宾嘎喇 嘎谛 毗嘎 谛 斯瓦喇 毗咕哩 萨尔瓦 德瓦 那嘎 德喇哈 喇那 玛雅 萨玛 迪 伊哩 迪 达雅 迦 苏朗迦 古朗迦 瓦吉喇 胡内 瓦吉喇 德里达萨喇 德喇哈 喇那 喇特那 德喇呀尼 德喇摩 德哩布德 瓦吉喇 达喇 毗室瓦 巴尼 阿德喇帝哈达 德喇摩 尔达尼 瓦吉朗古室 阿吉呀 巴雅谛 斯瓦诃,那摩 喇特那 德喇呀呀 那摩诃 商达 瓦吉喇 巴那耶 摩诃 雅刹 塞那 巴达耶 嗡 瓦吉喇 昂古室 嘎比拉 给室 达谛 达谛 嘎谛 嘎谛 咕谛 穆 谛尼 嘎罗 嘎谛 巴罗 嘎谛 穆谛 瓦吉哩 摩诃 外杜哩耶 杜古 杜古 苏穆 苏穆 苏噜 苏噜 萨喇 萨喇 毗萨喇 毗萨喇 吽吽吽吽 帕特 帕特 帕特 帕特 穆尔德内谛 哈喇 哈喇 宾嘎喇 嘎谛 毗嘎 谛 斯瓦喇 毗咕哩 萨尔瓦 德瓦 那嘎 德喇哈 喇那 玛雅 萨玛 迪 伊哩 迪 达雅 迦 苏朗迦 古朗迦 瓦吉喇 胡内 瓦吉喇 德里达萨喇 德喇哈 喇那 喇特那 德喇呀尼 德喇摩 德哩布德 瓦吉喇 达喇 毗室瓦 巴尼 阿德喇帝哈达 德喇摩 尔达尼 瓦吉朗古室 阿吉呀 巴雅谛 斯瓦诃,,success,否,否,
M26.01 卍甘露军吒利明王成就一切法陀罗尼(圣甘露军吒利明王除一切障难成就一切法陀罗尼)卍,namo ratna trayāya  namaḥ sarva buddhabodhi satve bhyaḥ  namaḥ ścaṇḍa vajra paṇaye  mahā yakṣa sena pataye  namo vajra krodhāya  nitya prajva lita  dīpta vajra karāya  ugra daṃ ṣṭro tkaṭa bhaya  phaira vāya  asi musala budgara  śakti śūla paraśo paśahastāya  vara kanaka  vajra vaiḍuryā laṅkṛta śarīrāya  sarva deva nāga yakṣa rākṣasa  asura preta piśāca  vighna vinā yaka  jīvi tānta kārāya  tadyathā  oṃ  amṛta kuṇḍali  hulu hulu  culu culu  mulu mulu  hana hana  daha daha  paca paca  matha matha  dhuna dhuna  kampa kampa  jambha jambha  stambhaya stambhaya  mohaya mohaya  ādhuna ādhuna  vidhuna vidhuna  mama 某甲sya  sarva śattroṃ  vighna vinā yakāṃ  kha kha  khāhi khāhi  ākarṣāya ākarṣāya  tiṣṭha tiṣṭha  bandha bandha gṛhṇa gṛhṇa  ānaya ānaya  tajja tajja  gajja gajja  bhañja bhañja  visphu ṭaya visphu ṭaya  bhagavaṃ  amṛta kuṇḍali  mūrdhna ntāḍāya vajreṇa humhumhumhumhumhumhum  phaṭ phaṭ phaṭ phaṭ phaṭ phaṭ phaṭ  krodhaya agnaye  kuru kuru  suru suru  muru muru  turu turu  hāhā  hīhī  hūhu  siddhyantume mantra padāni  svāhā,那摩 喇特那 特喇呀呀 那摩诃 萨尔瓦 布达波地 萨特维 比呀诃 那摩诃 希旃达 瓦吉喇 巴那耶 摩诃 耶克沙 塞那 巴达耶 那摩 瓦吉喇 克罗达呀 尼提呀 波吉瓦利达 迪波达 瓦吉喇 嘎喇呀 乌格喇 达姆 什特罗 特嘎达 巴呀 派喇 瓦呀 阿西 穆萨拉 布德嘎喇 沙克提 舒拉 巴喇烁 巴萨哈斯塔呀 瓦喇 嘎那嘎 瓦吉喇 外杜尔呀 兰克哩达 沙哩喇呀 萨尔瓦 德瓦 那嘎 耶克沙 拉克沙萨 阿苏喇 波瑞达 比沙嘎 维格那 维那 耶嘎 吉维 丹达 嘎喇呀 达德呀塔 奥姆 阿姆哩达 昆达利 呼噜 呼噜 粗噜 粗噜 穆噜 穆噜 哈那 哈那 达哈 达哈 巴嘎 巴嘎 玛塔 玛塔 杜那 杜那 甘巴 甘巴 占巴 占巴 斯丹巴呀 斯丹巴呀 摩哈呀 摩哈呀 阿杜那 阿杜那 维杜那 维杜那 玛玛 某甲斯呀 萨尔瓦 沙特罗姆 维格那 维那 耶卡姆 卡 卡 卡嘻 卡嘻 阿嘎尔沙呀 阿嘎尔沙呀 提什塔 提什塔 班达 班达 格里赫那 格里赫那 阿那呀 阿那呀 达吉佳 达吉佳 嘎吉佳 嘎吉佳 班佳 班佳 维斯普 达呀 维斯普 达呀 巴嘎瓦姆 阿姆哩达 昆达利 穆尔德那 恩达达呀 瓦吉瑞那 呼呼呼呼呼呼呼 帕特 帕特 帕特 帕特 帕特 帕特 帕特 克罗达呀 阿格那耶 古噜 古噜 苏噜 苏噜 穆噜 穆噜 图噜 图噜 哈哈 嘻嘻 呼呼 悉地延图梅 曼特喇 巴达尼 斯瓦哈,那摩 喇特那 特喇呀呀 那摩诃 萨尔瓦 布达波地 萨特维 比呀诃 那摩诃 希旃达 瓦吉喇 巴那耶 摩诃 耶克沙 塞那 巴达耶 那摩 瓦吉喇 克罗达呀 尼提呀 波吉瓦利达 迪波达 瓦吉喇 嘎喇呀 乌格喇 达姆 什特罗 特嘎达 巴呀 派喇 瓦呀 阿西 穆萨拉 布德嘎喇 沙克提 舒拉 巴喇烁 巴萨哈斯塔呀 瓦喇 嘎那嘎 瓦吉喇 外杜尔呀 兰克哩达 沙哩喇呀 萨尔瓦 德瓦 那嘎 耶克沙 拉克沙萨 阿苏喇 波瑞达 比沙嘎 维格那 维那 耶嘎 吉维 丹达 嘎喇呀 达德呀塔 奥姆 阿姆哩达 昆达利 呼噜 呼噜 粗噜 粗噜 穆噜 穆噜 哈那 哈那 达哈 达哈 巴嘎 巴嘎 玛塔 玛塔 杜那 杜那 甘巴 甘巴 占巴 占巴 斯丹巴呀 斯丹巴呀 摩哈呀 摩哈呀 阿杜那 阿杜那 维杜那 维杜那 玛玛 某甲斯呀 萨尔瓦 沙特罗姆 维格那 维那 耶卡姆 卡 卡 卡嘻 卡嘻 阿嘎尔沙呀 阿嘎尔沙呀 提什塔 提什塔 班达 班达 格里赫那 格里赫那 阿那呀 阿那呀 达吉佳 达吉佳 嘎吉佳 嘎吉佳 班佳 班佳 维斯普 达呀 维斯普 达呀 巴嘎瓦姆 阿姆哩达 昆达利 穆尔德那 恩达达呀 瓦吉瑞那 呼呼呼呼呼呼呼 帕特 帕特 帕特 帕特 帕特 帕特 帕特 克罗达呀 阿格那耶 古噜 古噜 苏噜 苏噜 穆噜 穆噜 图噜 图噜 哈哈 嘻嘻 呼呼 悉地延图梅 曼特喇 巴达尼 斯瓦哈,,success,否,否,
M26.02 卍甘露军吒利大忿怒王立现验陀罗尼(圣甘露军托利忿怒王立现验陀罗尼)卍,namo ratna trayāya  namaḥ ścaṇḍa vajra pāṇaye  mahā yakṣa sena pataye  apari mita  gati gama nāya  mahā bala parā kramāya  vara kanaka  ratna bhūṣa ṇāya  moli kuṇḍala dharāya  mahā phaira vāya  rūpa dhāriṇi  krodharā jāya  samanta vajra jvālā  visphu liṅgā  ṭṭahasa  saṃ bhra motrā sana karāya  tadyathā  oṃ  amṛta kuṇḍali  turu turu  yuru yuru  ghuru ghuru  muru muru  huru huru  muhu muhu  laghu laghu  traṭṭa traṭṭa  maṭṭa maṭṭa  kaḍha kaḍha  dhaka dhaka  dhuna dhuna  vidhuna vidhuna  ānaya ānaya  pata pata  pātaya pātaya  ehyehi  aviśa aviśa praviśa pravi śenaṃ  mānuṣa  śarīraṃ  gṛhītama  gṛhitaṃva  duṣṭama duṣṭaṃ vā  kampa kampa  kampa paya kampa paya  nṛtyā paya  jalpa paya  pataya pataya  utha paya utha paya  hasa hasā paya  rodā nike  roda paya  ukruśa ukruśa vikruśa vikruśa akruśa akruśa akruśā paya  hana hana  daha daha  paca paca  taḍaya  api ṣaya  muñca muñca paya  bhagavaṃ  amṛta kuṇḍali  kha kha  svāhā,那摩 喇特那 德喇呀呀 那摩诃 商达 瓦吉喇 巴那耶 摩诃 雅刹 塞那 巴达耶 阿巴利 弥达 嘎帝 嘎摩 那呀 摩诃 巴拉 巴拉 格喇摩呀 瓦喇 嘎那嘎 喇特那 布沙 那呀 摩利 衮达拉 达喇呀 摩诃 派喇 瓦呀 鲁巴 达利尼 格洛达喇 佳呀 萨曼达 瓦吉喇 吉瓦拉 毗斯普 陵嘎 达哈萨 桑 布拉 摩德喇 萨那 嘎喇呀 达德呀他 奥姆 阿姆利达 衮达利 杜鲁 杜鲁 尤鲁 尤鲁 古鲁 古鲁 穆鲁 穆鲁 呼鲁 呼鲁 穆呼 穆呼 拉古 拉古 德喇达 德喇达 玛达 玛达 嘎达 嘎达 达嘎 达嘎 杜那 杜那 毗杜那 毗杜那 阿那呀 阿那呀 巴达 巴达 巴达呀 巴达呀 埃嘿埃嘿 阿毗沙 阿毗沙 布拉毗沙 布拉毗 塞南 玛努沙 沙利兰 格里希达摩 格里希达姆瓦 杜什达摩 杜什达姆 瓦 甘巴 甘巴 甘巴 巴呀 甘巴 巴呀 尼尔帝呀 巴呀 加尔巴 巴呀 巴达呀 巴达呀 乌达 巴呀 乌达 巴呀 哈萨 哈萨 巴呀 洛达 尼给 洛达 巴呀 乌格鲁沙 乌格鲁沙 毗格鲁沙 毗格鲁沙 阿格鲁沙 阿格鲁沙 阿格鲁沙 巴呀 哈那 哈那 达哈 达哈 巴嘎 巴嘎 达达呀 阿毗 沙呀 衮佳 衮佳 巴呀 巴嘎梵 阿姆利达 衮达利 卡 卡 斯瓦哈,那摩 喇特那 德喇呀呀 那摩诃 商达 瓦吉喇 巴那耶 摩诃 雅刹 塞那 巴达耶 阿巴利 弥达 嘎帝 嘎摩 那呀 摩诃 巴拉 巴拉 格喇摩呀 瓦喇 嘎那嘎 喇特那 布沙 那呀 摩利 衮达拉 达喇呀 摩诃 派喇 瓦呀 鲁巴 达利尼 格洛达喇 佳呀 萨曼达 瓦吉喇 吉瓦拉 毗斯普 陵嘎 达哈萨 桑 布拉 摩德喇 萨那 嘎喇呀 达德呀他 奥姆 阿姆利达 衮达利 杜鲁 杜鲁 尤鲁 尤鲁 古鲁 古鲁 穆鲁 穆鲁 呼鲁 呼鲁 穆呼 穆呼 拉古 拉古 德喇达 德喇达 玛达 玛达 嘎达 嘎达 达嘎 达嘎 杜那 杜那 毗杜那 毗杜那 阿那呀 阿那呀 巴达 巴达 巴达呀 巴达呀 埃嘿埃嘿 阿毗沙 阿毗沙 布拉毗沙 布拉毗 塞南 玛努沙 沙利兰 格里希达摩 格里希达姆瓦 杜什达摩 杜什达姆 瓦 甘巴 甘巴 甘巴 巴呀 甘巴 巴呀 尼尔帝呀 巴呀 加尔巴 巴呀 巴达呀 巴达呀 乌达 巴呀 乌达 巴呀 哈萨 哈萨 巴呀 洛达 尼给 洛达 巴呀 乌格鲁沙 乌格鲁沙 毗格鲁沙 毗格鲁沙 阿格鲁沙 阿格鲁沙 阿格鲁沙 巴呀 哈那 哈那 达哈 达哈 巴嘎 巴嘎 达达呀 阿毗 沙呀 衮佳 衮佳 巴呀 巴嘎梵 阿姆利达 衮达利 卡 卡 斯瓦哈,,success,否,否,
